EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08100213	ILAlg-02-01, 00786 = AE 1900, 00192 = AntAfr-1973-133 = AE 2018, +01948	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	231	270	231	270	nomen singulare;  servi/servae;  tituli sepulcrales;  tria nomina;  viri	Memoriae / Iulius Feli/cianus v(ixit) a(nnos) XXV / Chaeremon / Aug(usti) n(ostri) pater fi/lio innocentissimo	Memoriae Iulius Felicianus v a XXV Chaeremon Aug n pater filio innocentissimo	Memoriae Iulius Felicianus vixit annos XXV Chaeremon Augusti nostri pater filio innocentissimo	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILAlg-02_00786.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD028471;1ae1900-63;1ae1900-64			231 to 270
EDCS-08100214	ILAlg-02-01, 00792 = AE 1900, 00193 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	nomen singulare;  officium/professio;  servi/servae;  tituli sepulcrales;  viri	D(is) M(anibus) / Syrus Aug(usti) n(ostri) / ser(vus) adiutor / a commentari/(i)s v(ixit) a(nnos) XXXV / h(ic) s(itus) e(st)	D M Syrus Aug n ser adiutor a commentaris v a XXXV h s e	Dis Manibus Syrus Augusti nostri servus adiutor a commentariis vixit annos XXXV hic situs est	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILAlg-02_00792.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD028474;1ae1900-64			171 to 230
EDCS-08100215	ILAlg-02-01, 00798	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					ordo decurionum;  ordo equester;  tituli honorarii;  viri	ho]norato ex hon/[3] dec(urioni) IIII col(oniarum) patri / [equi]tum Romanorum / [3 e]xercitatissimo / [3]s Marcellus / [3] eq(uites) R(omani) patri ka/[rissimo] libertis liber/[tabus liber]is posterisq(ue) eorum	honorato ex hon dec IIII col patri tum Romanorum xercitatissimo s Marcellus eq R patri ka libertis liber is posterisq eorum	honorato ex hon decurioni IIII coloniarum patri equitum Romanorum exercitatissimo s Marcellus equites Romani patri karissimo libertis libertabus liberis posteris que eorum	lapis		36.364519	6.608260						
EDCS-08100216	ILAlg-02-01, 00799 = AE 1900, 00195 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	ordo equester;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / M(arcus) Satellius / Rufinus Pan/cratius eques / Romanus iuve/nis morum incom/parabilis v(ixit) a(nnos) XVII / mensibus VIIII / diebus X C(aius) Sa/tellius Ianuari/us pater infeli/cissimus deser/tus ab eo / viceversa / filio piissimo	D M M Satellius Rufinus Pancratius eques Romanus iuvenis morum incomparabilis v a XVII mensibus VIIII diebus X C Satellius Ianuarius pater infelicissimus desertus ab eo viceversa filio piissimo	Dis Manibus Marcus Satellius Rufinus Pancratius eques Romanus iuvenis morum incomparabilis vixit annos XVII mensibus VIIII diebus X Caius Satellius Ianuarius pater infelicissimus desertus ab eo viceversa filio piissimo	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD028480;1ae1900-64			171 to 230
EDCS-08100217	ILAlg-02-01, 00801	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					ordo decurionum;  tituli sepulcrales;  viri	]ON / [praef(ectus?)] iur(e) d(icundo) COG() / [3] v(ixit) a(nnos) XCI / h(ic) e(st)	ON iur d COG v a XCI h e	ON praefectus iure dicundo COG vixit annos XCI hic est	lapis		36.364519	6.608260						
EDCS-08100218	ILAlg-02-01, 00807 = D 09409 = AE 1907, 00244 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	sacerdotes pagani;  tituli sacri;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / P(ublius) Iulius P(ubli) f(ilius) Quir(ina) / Martialis Publi/a<n=M>us sacerdos / Caelestis Sittian(a)e / loci primi / v(ixit) a(nnos) LXXXV / h(ic) s(itus) e(st)	D M P Iulius P f Quir Martialis PubliaMus sacerdos Caelestis Sittiane loci primi v a LXXXV h s e	Dis Manibus Publius Iulius Publi filius Quirina Martialis Publianus sacerdos Caelestis Sittianae loci primi vixit annos LXXXV hic situs est	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD023993;de-c0136;1ae1907-66			171 to 230
EDCS-08100219	ILAlg-02-01, 00809 = CLE 01997 = CLENuovo p 140 = SIRIS 00789 = RICIS-02, 00704/0401 = CLEAfrique 00125 = AE 1905, 00107 = AE 1905, +00171 = Ruggeri-2023, 00005	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					carmina;  mulieres;  tituli sacri;  tituli sepulcrales;  tria nomina	D(is) M(anibus) / memoriae / Iulia Sidonia Felix / de nomine tantum / cui nefas ante diem / ruperunt st<a=E>mina Par/cae quam procus heu / nuptiis Hymenaeos con/tigit ignes ingemuere / omnes Dryades doluere puellae / et Lucina facis demerso lumi/ne flevit virgo quod et so/lum pignus fueratque paren/tum Memphidos haec fu/erat divae sistrata{e} sacer/dos hic tumulata silet / aeterno munere somni / v(ixit) a(nnos) XVIIII m(enses) IIII d(ies) XIIII / h(ic) s(ita) e(st)	D M memoriae Iulia Sidonia Felix de nomine tantum cui nefas ante diem ruperunt stEmina Parcae quam procus heu nuptiis Hymenaeos contigit ignes ingemuere omnes Dryades doluere puellae et Lucina facis demerso lumine flevit virgo quod et solum pignus fuerat que parentum Memphidos haec fuerat divae sistratae sacerdos hic tumulata silet aeterno munere somni v a XVIIII m IIII d XIIII h s e	Dis Manibus memoriae Iulia Sidonia Felix de nomine tantum cui nefas ante diem ruperunt stamina Parcae quam procus heu nuptiis Hymenaeos contigit ignes ingemuere omnes Dryades doluere puellae et Lucina facis demerso lumine flevit virgo quod et solum pignus fuerat que parentum Memphidos haec fuerat divae sistrata sacerdos hic tumulata silet aeterno munere somni vixit annos XVIIII menses IIII dies XIIII hic sita est	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILAlg-02_00809.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030351;m|ce|1997;1ae1905-25;1ae1905-26;1ae1905-43;bu_AE%26bibl_volume=1905%26bibl_subvolume=%26bibl_insc=107			
EDCS-08100220	ILAlg-02-01, 00810 = SIRIS 00790 = RICIS-02, 00704/0402 = CLEAfr-02, 00096 = Ruggeri-2023, 00005a	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					carmina;  mulieres;  nomen singulare;  sacerdotes pagani;  tituli sepulcrales;  viri	[Memphidos] / [hae]c fuit / [divae] sistra/[tae sa]cerdos / [hic tu]mula/[ta	c fuit sistra cerdos mulata	Memphidos haec fuit divae sistratae sacerdos hic tumulata	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=m|appe|0738			
EDCS-08100221	ILAlg-02-01, 00813 = Saturne-02, p 26	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					tituli operum;  tituli sacri	Saturni loc[u]/s [	Saturni loc s	Saturni locus	lapis		36.364519	6.608260						
EDCS-08100222	ILAlg-02-01, 00816 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	officium/professio;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / C(aius) Iulius C(ai) f(ilius) / Quir(ina) Felix / vestiari/us v(ixit) a(nnos) / LXXXXVII / h(ic) s(itus) e(st)	D M C Iulius C f Quir Felix vestiarius v a LXXXXVII h s e	Dis Manibus Caius Iulius Cai filius Quirina Felix vestiarius vixit annos LXXXXVII hic situs est	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS-08100222.jpg				171 to 230
